Document,Topic_group,Priority
Slow meeting update slow zoom question help meeting question help software error error meeting zoom.,Miscellaneous,Medium
Monitor printer mouse broken broken paper printer critical monitor printer monitor broken paper broken asap screen.,Hardware,High
Zoom zoom zoom feedback meeting update asap question question update critical error help update software zoom help.,Miscellaneous,High
Timesheet onboarding onboarding benefits insurance insurance insurance onboarding vacation timesheet onboarding w2.,HR Support,Medium
Question feedback help error error crashing no rush error help software software question.,Miscellaneous,Low
Slow meeting feedback error question feedback zoom feedback meeting help zoom update crashing.,Miscellaneous,Medium
Leave payroll emergency leave insurance insurance insurance timesheet payroll onboarding w2 leave benefits payroll vacation all users w2.,HR Support,High
Insurance onboarding trivial insurance pto benefits benefits payroll update w2 onboarding.,HR Support,Low
Vpn update question access denied access denied authentication credentials locked out reset locked out access denied.,Access,Low
Error crashing zoom software update meeting meeting update question feedback question.,Miscellaneous,Medium
Onboarding timesheet w2 benefits insurance.,HR Support,Medium
Pto question payroll onboarding question w2 onboarding payroll payroll payroll timesheet insurance payroll payroll leave payroll.,HR Support,Low
Timesheet benefits leave w2 suggestion payroll timesheet onboarding timesheet benefits leave update insurance vacation payroll.,HR Support,Low
Disk space cloud storage wondering quota backup full cloud storage suggestion drive drive.,Storage,Low
Payroll benefits insurance benefits pto pto onboarding insurance trivial payroll payroll payroll insurance benefits update.,HR Support,Low
Missing files quota no rush drive full quota quota full database full onedrive no rush cloud storage full disk space drive.,Storage,Low
Password suggestion password vpn access denied vpn reset password password vpn access denied account no rush login credentials account login.,Access,Low
Drive disk space backup disk space backup onedrive.,Storage,Medium
Password password access denied authentication immediately reset vpn authentication authentication credentials emergency authentication login authentication locked out access denied login.,Access,High
Monitor printer keyboard printer printer paper laptop.,Hardware,Medium
Drive drive quota drive full cloud storage backup backup database backup backup onedrive drive cloud storage.,Storage,Medium
Error help wondering slow whenever software crashing question feedback update meeting zoom meeting.,Miscellaneous,Low
Password account vpn authentication reset credentials authentication vpn authentication locked out vpn account account authentication password.,Access,Medium
Drive update full cloud storage disk space trivial onedrive.,Storage,Low
Battery power mouse keyboard keyboard broken mouse monitor printer mouse power paper paper.,Hardware,Medium
Credentials locked out login access denied vpn authentication vpn account locked out wondering reset credentials password reset wondering access denied locked out.,Access,Low
Access denied credentials access denied vpn account account account account authentication.,Access,Medium
Reset vpn password credentials credentials vpn locked out.,Access,Medium
Laptop laptop power screen screen keyboard battery power laptop laptop laptop power battery.,Hardware,Medium
Keyboard battery power broken mouse paper laptop broken broken broken battery.,Hardware,Medium
Feedback crashing no rush software slow question error slow.,Miscellaneous,Low
Cloud storage quota database drive drive drive drive cloud storage drive wondering onedrive cloud storage update.,Storage,Low
Crashing crashing crashing meeting error all users feedback update feedback broken help meeting meeting question help.,Miscellaneous,High
No rush drive full quota onedrive missing files cloud storage cloud storage cloud storage database database trivial database.,Storage,Low
Backup trivial onedrive disk space cloud storage database backup onedrive quota no rush onedrive cloud storage onedrive.,Storage,Low
Mouse broken power paper broken immediately blocked.,Hardware,High
Immediately broken screen monitor laptop screen screen keyboard printer urgent broken.,Hardware,High
Crashing software update help help meeting feedback question help question update help.,Miscellaneous,Medium
Question question zoom question feedback meeting update broken slow emergency help.,Miscellaneous,High
Crashing feedback meeting feedback crashing zoom error question zoom zoom question update.,Miscellaneous,Medium
Access denied access denied credentials locked out credentials update locked out vpn locked out trivial vpn access denied authentication reset reset reset.,Access,Low
Pto w2 benefits blocked onboarding immediately timesheet leave.,HR Support,High
